Código;Descripción;Ref.prov;Prov.;Costo;Venta;Stock();Margen;Real
;MAGNESIO 1 L BIO NOVA;BIO NOVA-01;2;7,9;15;0;0;56,96
;BIOGROW 1 L;BIOBIZZ-01;2;6,27;13;-1;0;88,52
;BIOBLOOM 1 L BIOBIZZ;BIOBIZZ-02;2;7,41;15;-1;0;84,08
;ALG-A-MIC 1 L;BIOBIZZ-03;2;12,39;23;0;0;53,43
;TOP MAX 5 L;BIOBIZZ-04;2;84,2;126,01;0;0;36,05
;BIO HEAVEN 250 ML;BIOBIZZ-05;1;10,59;20;0;0;56,09
;ALL-MIX 50 L;BIOBIZZ-06;2;10,61;18;-11;0;54,19
;ROOT JUICE 250 ML;BIOBIZZ-07;1;8,22;18;0;0;81,02
;PRE-MIX 5 L;BIOBIZZ-08;1;9,9;19;0;0;74,44
;ALL-MIX 20 L;BIOBIZZ-09;2;4,9;9;0;0;66,94
;TOP MAX  500 ML BIOBIZZ;BIOBIZZ-10;2;9,95;22;-1;0;82,71
